PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Eflin,5.2,8,4,2,0,5,0,3.95
"Hand(W, 1-0)",0.1,0,0,0,1,1,0,0.00
Familia,1.0,3,2,2,1,1,0,6.75
"Alvarado(H, 1)",1.0,0,0,0,0,1,0,3.86
"Knebel(S, 2)",1.0,0,0,0,0,1,0,0.00
,9.0,11,6,4,2,9,0,
