BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Segura2B,5,0,1,0,0,1,4,.242,.791
Hoskins1B,4,1,0,0,1,1,2,.220,.812
HarperDH,5,1,1,0,0,1,1,.220,.730
"Castellanos, NRF",4,2,3,1,1,0,0,.306,.953
RealmutoC,5,0,0,0,0,2,6,.298,.744
SchwarberLF,3,3,1,2,1,1,0,.170,.711
MuzziottiCF,0,0,0,0,0,0,0,.143,.393
Bohm3B,4,1,2,3,0,0,0,.476,1.197
CamargoSS,5,1,4,3,0,0,0,.382,.946
VierlingCF-LF,3,0,0,0,1,1,4,.172,.449
,38,9,12,9,4,7,17,,
