BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS,4,0,0,0,0,1,1,.280,.776
DonovanLF,4,0,1,0,0,1,1,.313,.849
GoldschmidtDH,4,0,0,0,0,2,1,.339,1.031
Arenado3B,4,0,0,0,0,1,0,.270,.831
Gorman2B,3,0,0,0,0,3,0,.247,.750
Yepez1B,3,0,2,0,0,1,0,.285,.817
CarlsonRF,2,0,0,0,1,1,1,.251,.714
BaderCF,3,0,0,0,0,2,2,.268,.697
KniznerC,1,0,0,0,1,0,0,.194,.557
a-NootbaarPH,1,0,0,0,0,0,0,.137,.459
"Herrera, IC",0,0,0,0,0,0,0,.000,.000
,29,0,3,0,2,12,6,,
