Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,20.7,3,2.6,0,0,1,2,66.7
2020,,--,0,0.1,0,1,0,0,--
2021,,--,0,0.4,0,1,1,0,--
2022,,21.4,10,10.9,-1,5,12,2,20.0
Player,,21.2,13,14.0,-1,7,14,4,30.8
