 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,73,17.5,23.3%,0.0%,42,21.3,4.8%,4.8%
2020,,139,16.7,32.4%,2.2%,117,22.7,2.6%,6.8%
2021,,194,16.5,31.4%,1.0%,104,22.3,1.9%,8.7%
2022,,517,16.5,35.0%,1.7%,316,20.9,2.8%,6.6%
