Season,Team,Pos,PA,Depth (ft.),Angle
2019,CHC,6,664,146,-16
2019,CHC,8,41,330,0
2019,CHC,4,41,151,11
2020,CHC,6,215,146,-14
2020,CHC,8,21,315,0
2020,CHC,5,160,118,-30
2020,CHC,7,14,289,-26
2020,CHC,4,833,152,13
2021,CHC,4,1059,156,15
2021,CHC,6,474,145,-9
2021,CHC,7,60,290,-27
2021,CHC,8,18,312,-1
2021,CHC,5,3,118,-35
2022,CHC,6,4703,145,-4
2022,CHC,5,6,116,-27
