Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2019,,,,,,,,,31,,,,,,89,,
2020,20,39,5,3,54,1,4,28,37,39,68,55,88,22,93,99,38
2021,,,,,,,,,51,,,,,,91,97,52
2022,31,84,29,10,49,9,6,16,59,15,98,14,97,18,92,98,51
