PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js",3.1,6,4,4,3,3,2,5.06
"Thompson, M(W, 1-0)",1.2,0,0,0,0,0,0,0.66
"Machado, A(H, 3)",2.0,2,0,0,1,1,0,4.27
"Finnegan(H, 14)",1.0,0,0,0,0,0,0,3.72
McGee,0.1,2,2,2,1,0,0,6.81
Edwards Jr.,0.2,1,0,0,0,0,0,2.89
,9.0,11,6,6,5,4,2,
