Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,,,,,,,,,92,,,,,,89,,
2016,,,,,,,,,84,,,,,,89,,
2017,90,81,75,67,96,67,73,84,84,89,37,91,63,98,87,92,
2018,93,91,89,79,92,76,75,97,85,96,26,85,38,94,87,60,
2019,76,70,55,45,88,67,50,79,90,84,68,87,77,98,87,3,
2020,,,,,,,,,80,,,,,,84,,
2021,73,50,57,56,84,63,65,77,86,84,40,95,59,98,69,7,71
2022,45,32,42,42,46,60,50,93,86,89,17,59,41,88,66,9,74
