Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,53.1,15.0,26.5,5.3,28.3,43.4,28.3,2.7,35.4,15.0,26.5,7.1,11.5,7.5
2016,46.1,19.1,31.5,3.4,27.0,38.2,34.8,2.2,37.1,14.6,19.1,10.1,15.7,7.7
2017,52.7,17.2,26.8,3.3,26.8,46.7,26.5,5.4,39.2,15.7,25.9,3.9,9.3,5.8
2018,48.2,19.9,29.1,2.8,33.9,44.5,21.6,2.8,35.3,16.0,27.7,8.1,10.1,6.3
2019,53.5,18.9,23.8,3.8,31.7,42.9,25.4,3.6,42.7,16.4,24.0,4.9,7.9,5.4
2020,62.2,18.3,19.5,0.0,39.0,41.5,19.5,1.2,39.0,18.3,24.4,7.3,7.3,4.8
2021,49.6,21.4,24.8,4.3,30.8,40.7,28.5,3.1,36.8,18.5,22.5,8.8,10.0,6.2
2022,48.2,22.4,24.7,4.6,34.2,39.8,26.0,2.3,36.0,21.7,23.5,8.2,7.9,5.0
Player,50.9,19.6,25.8,3.7,31.5,42.6,25.9,3.2,38.0,17.4,24.5,6.9,9.3,5.9
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
