 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2014,,2,12.5,100.0%,0.0%,3,17.9,0.0%,0.0%
2015,,214,16.5,37.9%,3.7%,127,22.9,3.9%,26.8%
2016,,243,16.8,36.2%,2.9%,142,23.1,7.7%,13.4%
2017,,676,16.6,33.4%,0.7%,436,21.7,0.9%,9.2%
2018,,721,15.5,42.0%,0.8%,423,22.1,0.9%,11.3%
2019,,861,16.3,35.3%,0.9%,526,22.2,0.4%,11.4%
2020,,162,17.4,24.7%,0.6%,102,22.2,3.9%,6.9%
2021,,824,17.0,29.2%,1.2%,438,23.1,0.2%,11.6%
2022,,788,16.7,33.4%,1.1%,489,22.5,1.2%,7.6%
