BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Edman2B,4,0,1,0,0,1,0,.262,.714
CarlsonCF,3,0,0,0,1,3,1,.247,.717
Goldschmidt1B,3,0,2,0,1,1,1,.343,1.047
Arenado3B,4,0,1,0,0,0,3,.295,.890
YepezRF,3,0,0,0,1,1,1,.274,.822
PujolsDH,3,0,2,0,0,0,0,.200,.626
a-GormanPH-DH,1,0,0,0,0,0,3,.252,.779
"Sosa, ESS",4,0,0,0,0,1,2,.188,.501
DonovanLF,3,0,1,0,0,0,1,.293,.807
KniznerC,4,0,0,0,0,1,2,.177,.508
,32,0,7,0,3,8,14,,
