PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 5-7)",6.0,5,3,3,1,4,2,2.72
"Thompson, Z.D.",1.0,0,0,0,0,0,0,2.70
Gallegos,1.0,0,0,0,0,0,0,2.90
,8.0,5,3,3,1,4,2,
