PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Syndergaard(L, 4-5)",4.2,2,1,1,3,5,0,3.53
Quijada,1.1,0,0,0,0,1,0,1.35
Wantz,2.0,1,1,1,2,2,1,2.92
,8.0,3,2,2,5,8,1,
