BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,1,1,1,0,2,1,.278,.898
"Freeman, F1B",2,1,0,0,2,1,1,.286,.815
TurnerSS,4,0,1,0,0,0,1,.297,.810
Muncy3B,3,0,0,0,1,1,2,.153,.604
"Smith, W.D.C",3,0,0,0,1,0,2,.244,.761
"Turner, JDH",2,0,0,1,1,1,0,.211,.626
BellingerCF,3,0,0,0,0,2,3,.204,.662
"Taylor, ChLF",3,0,1,0,0,1,0,.256,.794
Lux2B,3,0,0,0,0,0,1,.291,.747
,27,2,3,2,5,8,11,,
