BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeRF,2,0,1,0,2,1,0,.314,1.122
Rizzo1B,4,0,0,0,0,2,4,.226,.829
Torres2B,4,0,0,0,0,2,3,.255,.758
StantonDH,4,0,0,0,0,2,1,.206,.729
LeMahieu3B,3,0,0,0,0,0,0,.260,.735
GonzalezLF,1,0,0,0,0,1,0,.180,.563
"Cabrera, OLF-SS",4,1,2,1,0,2,0,.250,.747
BaderCF,3,0,0,0,0,2,1,.250,.651
Kiner-FalefaSS-3B,3,0,1,0,0,0,0,.263,.646
TrevinoC,3,0,0,0,0,1,1,.249,.667
,31,1,4,1,2,13,10,,
