BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,5,2,1,2,0,3,4,.209,.809
Hoskins1B,4,1,1,0,1,2,1,.221,.706
HarperDH,5,2,2,1,0,2,3,.308,1.001
"Castellanos, NRF",2,1,1,0,2,0,1,.250,.718
"Herrera, ORF",1,1,1,2,0,0,0,.279,.850
RealmutoC,3,0,0,1,1,0,2,.242,.682
GregoriusSS,5,0,3,1,0,0,0,.306,.785
Bohm3B,5,0,0,0,0,2,6,.255,.655
Stott2B,3,0,0,1,1,1,3,.182,.546
MoniakCF,1,1,0,0,2,0,1,.176,.476
,34,8,9,8,7,10,21,,
