PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Eflin,4.0,4,1,1,3,2,1,3.76
"Nelson, N",1.0,1,0,0,0,2,0,3.77
"Brogdon(H, 1)",1.0,2,1,1,0,0,1,2.92
"Domínguez(W, 3-1)",1.0,0,0,0,0,2,0,1.66
Familia,1.0,1,0,0,0,1,0,3.43
Norwood,1.0,3,1,1,0,2,0,7.71
,9.0,11,3,3,3,9,2,
