Season,Team,Pos,PA,Depth (ft.),Angle
2018,NYM,5,66,117,-36
2018,NYM,4,1865,151,12
2019,NYM,4,1039,150,12
2019,NYM,7,1584,301,-28
2019,NYM,9,1256,295,28
2019,NYM,5,670,115,-29
2020,NYM,7,967,298,-29
2020,NYM,9,120,300,29
2020,NYM,4,304,150,12
2020,NYM,5,312,113,-22
2021,NYM,4,2545,154,11
2021,NYM,5,30,116,-33
2021,NYM,7,949,302,-29
2022,NYM,7,1135,302,-28
2022,NYM,4,3496,156,12
2022,NYM,9,373,299,28
2022,NYM,5,4,116,-38
