,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,589,533,73,174,9,62,4,.326,.382,.454,.836
5 Seasons,2039,1837,258,564,46,214,19,.307,.370,.458,.828
