 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,13,36,36.1,-5,0.3,0.3,-0.2,0.4,33.3
2020,9,13,69.2,1,-1.1,-0.5,0.7,-1.4,33
2021,7,12,58.3,1,-0.7,-0.2,0.7,-0.3,34.3
2022,9,14,64.3,1,0.1,-0.2,0.1,0,34.4
