 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,145,90.0,84.1,--,--,33,--,46,--,--,--,58,83.1,--,--,8,--
2021,361,89.6,84.5,--,--,292,81.5,3,--,--,--,66,84.5,--,--,--,--
2022,561,90.9,86.1,--,--,449,80.4,--,--,--,--,87,85.4,--,--,25,--
