Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,NYM,NL,2B,54,52,460.2,221,96,123,2,29,,.991
2018,NYM,NL,3B,4,1,16.0,8,2,5,1,2,,.875
2019,NYM,NL,2B,37,24,244.2,104,52,50,2,16,,.981
2019,NYM,NL,3B,31,16,154.1,43,14,28,1,2,,.977
2019,NYM,NL,LF,71,45,371.0,56,52,2,2,0,,.964
2019,NYM,NL,RF,42,38,300.0,57,52,3,2,0,,.965
2020,NYM,NL,2B,12,9,68.2,33,13,20,0,5,,1.000
2020,NYM,NL,3B,9,9,75.0,37,5,27,5,5,,.865
2020,NYM,NL,LF,28,26,215.0,37,37,0,0,0,,1.000
2020,NYM,NL,RF,4,4,30.0,10,9,1,0,1,,1.000
2020,NYM,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2021,NYM,NL,2B,79,73,605.2,250,96,148,6,36,,.976
2021,NYM,NL,3B,2,0,5.0,2,0,2,0,0,,1.000
2021,NYM,NL,LF,28,26,217.0,50,47,1,2,0,,.960
2021,NYM,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2022,NYM,NL,2B,106,95,844.0,386,160,223,3,55,,.992
2022,NYM,NL,3B,1,0,1.0,1,1,0,0,0,,1.000
2022,NYM,NL,LF,34,33,271.0,71,68,2,1,1,,.986
2022,NYM,NL,RF,13,11,92.0,18,17,1,0,0,,1.000
2022,NYM,NL,DH,4,3,0.0,0,0,0,0,0,,.000
5 Seasons,NYM,NL,2B,288,253,2223.2,994,417,564,13,141,,.987
,NYM,NL,3B,47,26,251.1,91,22,62,7,9,,.923
,NYM,NL,LF,161,130,1074.0,214,204,5,5,1,,.977
,NYM,NL,RF,59,53,422.0,85,78,5,2,1,,.976
,NYM,NL,DH,8,7,0.0,0,0,0,0,0,,.000
