 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,242,815,4,-4,6,3,9
2019,,565,"2,067",13,-8,12,11,29
2020,,207,804,3,-7,6,4,7
2021,,426,"1,514",-13,-25,14,11,-13
2022,,599,"2,105",-6,6,15,9,24
