BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeRF,4,1,2,1,1,1,0,.344,1.103
BlackmonDH,4,0,2,1,1,1,1,.200,.540
BryantLF,3,1,0,1,0,1,4,.344,.809
DazaCF,1,0,0,0,0,0,0,.444,.888
Cron1B,4,2,2,3,0,1,1,.333,1.232
McMahon3B,4,1,1,0,0,0,0,.250,.754
Rodgers2B,4,1,1,0,0,1,1,.111,.305
HilliardCF-LF,3,1,1,0,1,0,0,.250,.641
TrejoSS,4,1,2,2,0,0,0,.375,1.125
NuñezC,2,1,0,1,1,1,2,.000,.286
,33,9,11,9,4,6,9,,
