PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Merryweather(L, 0-3)",1.0,2,1,1,0,1,0,5.63
"White, M",6.0,7,3,3,0,2,0,5.05
Phelps,2.0,0,0,0,0,1,0,2.65
,9.0,9,4,4,0,4,0,
