PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Springs(W, 8-4)",6.0,3,0,0,2,5,0,2.41
Armstrong,1.2,4,2,2,1,2,0,4.70
"Fairbanks(S, 7)",1.1,1,0,0,0,2,0,1.35
,9.0,8,2,2,3,9,0,
