PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Strider(W, 8-4)",6.0,6,1,1,1,7,0,2.87
"Iglesias, R",1.0,0,0,0,0,0,0,3.38
Minter,1.0,0,0,0,1,0,0,2.22
Stephens,0.1,4,3,3,1,0,1,3.89
Matzek,0.2,0,0,0,0,0,0,3.16
,9.0,10,4,4,3,7,1,
