PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Pérez(L, 12-8)",6.0,5,1,1,5,2,0,2.89
Tinoco,1.0,0,0,0,1,0,0,1.83
"Hernández, J",1.0,2,2,2,0,1,2,3.07
"Barlow, J",1.0,1,0,0,1,1,0,3.86
,9.0,8,3,3,7,4,2,
