PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Snell,3.1,4,2,2,6,5,1,5.40
"Martinez, N(L, 0-1)",2.2,1,1,1,1,0,1,3.38
Morejon,0.0,2,4,4,2,0,0,-.--
Johnson,1.0,2,0,0,0,2,0,0.00
"Wilson, S",1.0,0,0,0,0,2,0,0.00
,8.0,9,7,7,9,9,2,
