PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"deGrom(W, 1-0)",6.0,5,2,2,2,8,1,3.00
"Díaz(H, 1)",1.2,1,0,0,1,1,0,0.00
Ottavino,1.0,0,1,1,3,2,0,9.00
"Lugo(S, 1)",0.1,0,0,0,0,0,0,0.00
,9.0,6,3,3,6,11,1,
