BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoCF,4,1,1,1,0,2,2,.150,.620
"Marte, K2B",4,0,1,0,0,0,1,.160,.507
PeraltaLF,2,0,0,0,1,1,0,.160,.610
b-McCarthyPH,1,0,0,0,0,1,0,.143,.476
"Walker, C1B",3,0,0,0,0,1,2,.136,.705
c-HummelPH,0,1,0,0,1,0,0,.167,.891
"Smith, PRF",3,1,0,0,1,1,2,.167,.485
BeerDH,4,0,1,1,0,2,0,.294,.862
"Alcántara, Se3B-SS",4,0,0,1,0,1,1,.100,.300
"Herrera, JC",3,0,0,0,1,1,1,.000,.182
PerdomoSS,1,0,0,0,0,1,1,.063,.438
"a-Hernandez, YPH-3B",0,0,0,0,1,0,0,.000,.200
,29,3,3,3,5,11,10,,
