PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Davies(L, 0-1)",4.1,7,5,4,1,2,2,5.79
Wendelken,0.2,0,0,0,0,1,0,0.00
"Smith, C",3.0,5,5,5,3,2,2,20.25
,8.0,12,10,9,4,5,4,
