Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,HOU,AL,112,42,46,0,1,.275,11,5,12,469,4.188,.250,.036,.393,.190,1,0
2017,HOU,AL,0,0,0,0,0,.---,0,0,0,0,-.--,.---,.---,.---,,0,0
2017,TOR,AL,95,53,41,0,1,.333,14,0,14,429,4.516,.379,.084,.167,.341,0,0
2017,2 Teams,,95,53,41,0,1,.333,14,0,14,429,4.516,.379,.084,.167,.341,0,0
2018,TOR,AL,523,223,197,0,3,.313,58,14,65,2109,4.033,.312,.042,.252,.229,4,0
2019,TOR,AL,464,197,176,0,1,.293,47,8,64,1923,4.144,.330,.056,.294,.242,3,1
2020,TOR,AL,207,110,83,0,1,.348,23,4,26,840,4.058,.304,.077,.222,.289,3,1
2021,TOR,AL,595,288,227,0,2,.352,61,5,92,2290,3.849,.249,.054,.243,.227,8,0
2022,TOR,AL,535,245,226,0,0,.335,61,18,73,2082,3.892,.284,.047,.224,.224,7,1
7 Seasons,2 Teams,,2531,1158,996,0,9,.326,275,54,346,10142,4.007,.294,.053,.252,.238,26,3
