 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,6,11,54.5,-1,0.5,-0.8,0,-0.3,33.1
2017,4,10,40,-2,0.2,1.1,0.2,1.6,33.1
2018,25,61,41,-3,0.8,-0.1,-0.5,0.2,33.3
2019,26,58,44.8,-2,-0.4,-0.3,0.7,-0.1,32.9
2020,4,25,16,-4,-0.2,0.8,-0.7,0.2,32.1
2021,25,64,39.1,0,0.1,-0.8,0.2,-0.5,31.5
2022,31,64,48.4,-3,-0.7,-0.5,0.9,-0.3,33.5
