,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,535,499,71,133,25,77,6,.267,.316,.491,.807
7 Seasons,2531,2320,352,607,133,380,35,.262,.319,.499,.818
