 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,111,465,-5,0,3,1,-2
2017,,95,429,6,-4,3,2,6
2018,,523,"2,109",7,-25,7,8,-3
2019,,463,"1,922",-5,-13,13,8,3
2020,,215,884,8,-10,3,4,6
2021,,594,"2,290",28,-13,13,11,39
2022,,543,"2,114",21,-16,4,9,18
