Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,23,29.5,4.15,6,3,7,21,97.1
2017,24,28.7,4.24,1,14,13,87,87.2
2018,25,28.6,4.28,2,16,15,97,85.7
2019,26,29.2,4.22,8,25,10,45,93.6
2020,27,28.3,4.38,,11,11,76,85.0
2021,28,28.5,4.34,12,10,8,103,84.9
2022,29,28.6,4.33,5,9,8,103,83.6
