 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,146,17.8,27.4%,2.7%,93,25.5,6.5%,26.9%
2017,,101,16.9,29.7%,0.0%,81,24.2,1.2%,16.0%
2018,,601,17.5,22.8%,1.8%,324,23.5,0.9%,12.7%
2019,,571,18.4,16.5%,2.1%,319,23.8,1.3%,12.5%
2020,,230,19.1,11.7%,2.2%,164,24.2,0.0%,15.2%
2021,,565,18.1,16.5%,1.8%,400,24.1,0.8%,18.8%
2022,,534,19.3,12.0%,4.5%,412,23.8,0.0%,10.7%
