,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,HOU,AL,41,112,100,15,23,7,0,4,11,11,28,0,2,0,.230,.304,.420,.724
,2017,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,2017,TOR,AL,26,95,88,16,23,6,0,8,20,6,36,0,1,0,.261,.305,.602,.907
,2017,2 Teams,,27,95,88,16,23,6,0,8,20,6,36,0,1,0,.261,.305,.602,.907
,2018,TOR,AL,134,523,476,67,114,29,7,22,57,41,163,5,5,3,.239,.302,.468,.770
,2019,TOR,AL,125,464,417,58,96,19,2,26,65,45,153,6,3,1,.230,.306,.472,.778
,2020,TOR,AL,50,207,190,33,55,7,0,16,34,14,63,6,1,1,.289,.340,.579,.919
*,2021,TOR,AL,143,595,550,92,163,29,0,32,116,36,148,12,4,7,.296,.346,.524,.870
,2022,TOR,AL,131,535,499,71,133,35,1,25,77,34,152,6,3,2,.267,.316,.491,.807
,7 Seasons,2 Teams,,651,2531,2320,352,607,132,10,133,380,187,743,35,19,14,.262,.319,.499,.818
