Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,110,1,0.9,.314,.000
2017,R,93,1,1.1,.343,.877
2018,R,523,43,8.2,.323,.380
2019,R,462,193,41.8,.300,.355
2020,R,207,97,46.9,.377,.392
2021,R,568,113,19.9,.358,.390
2022,R,533,48,9.0,.358,.224
