Season,Team,Pos,PA,Depth (ft.),Angle
2016,HOU,9,190,294,25
2016,HOU,7,516,295,-26
2016,HOU,8,370,316,-1
2017,TOR,8,151,309,0
2017,TOR,7,568,294,-25
2017,TOR,9,80,292,27
2017,HOU,9,6,291,26
2018,TOR,7,3003,295,-27
2018,TOR,9,1272,300,26
2019,TOR,8,2774,327,1
2019,TOR,7,1481,303,-24
2020,TOR,9,1395,293,27
2020,TOR,8,233,321,0
2021,TOR,9,3535,294,27
2021,TOR,7,1008,292,-27
2021,TOR,8,33,320,2
2022,TOR,9,4050,297,25
2022,TOR,7,141,300,-27
