BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",4,1,2,3,0,2,0,.221,.736
"Reynolds, BDH",3,0,0,0,0,3,1,.256,.779
"Castro, R2B",4,0,0,0,0,1,2,.239,.746
MitchellRF,4,0,0,0,0,3,2,.221,.624
Hayes3B,4,0,1,0,0,2,1,.244,.665
SuwinskiCF,4,0,0,0,0,4,1,.192,.663
"Allen, GLF",3,0,0,0,0,2,0,.200,.570
Collins1B,2,1,1,0,0,1,0,.195,.665
a-ChavisPH-1B,1,0,0,0,0,1,0,.238,.676
DelayC,3,1,1,0,0,1,0,.219,.536
,32,3,5,3,0,20,7,,
