PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
Oviedo,4.0,5,3,3,4,6,0,3.69
Crowe,2.0,3,0,0,0,1,0,3.54
"Stephenson, R(L, 2-2)",1.0,2,1,1,0,1,0,5.77
Banuelos,0.1,1,2,2,1,1,0,4.08
Underwood Jr.,0.2,1,1,0,1,1,0,4.26
,8.0,12,7,6,6,10,0,
