BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Polanco2B,5,1,2,4,0,1,1,.229,.798
CorreaSS,4,1,2,0,1,1,1,.176,.587
Urshela3B,5,0,3,0,0,0,3,.296,.752
GarlickRF,2,1,1,2,0,0,2,.200,1.000
a-KeplerPH-RF,2,1,0,0,1,1,2,.156,.570
SanchezC,4,1,0,0,1,0,3,.207,.626
LarnachLF,5,0,0,0,0,1,5,.235,.616
Sanó1B,4,0,0,0,0,0,2,.067,.430
JeffersDH,1,0,0,0,2,1,0,.150,.442
b-ArraezPH-DH,0,1,0,0,1,0,0,.296,.811
CelestinoCF,3,2,1,0,1,1,2,.143,.393
,35,8,9,6,7,6,21,,
