BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,0,0,0,0,3,3,.163,.599
Devers3B,5,0,1,0,0,1,3,.349,.922
BogaertsSS,5,0,3,1,0,1,0,.333,.868
MartinezDH,5,0,1,0,0,2,5,.243,.758
VerdugoLF,3,1,2,0,1,0,0,.333,1.067
Arroyo2B,4,0,1,0,0,1,5,.176,.343
"Shaw, T1B",4,0,0,0,0,3,4,.000,.000
VázquezC,4,2,2,2,0,0,1,.208,.564
Bradley Jr.RF,3,0,1,0,1,1,1,.231,.718
,38,3,11,3,2,12,22,,
