 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,498,"2,019",4,-10,13,10,16
2019,,631,"2,506",6,-6,12,11,23
2020,,190,815,-1,-8,9,6,5
2021,,519,"2,095",-8,-21,15,9,-4
2022,,606,"2,377",-9,-10,12,11,3
