Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,23.6,24,18.9,5,9,11,10,41.7
2019,,24.4,41,35.1,6,10,27,15,36.6
2020,,25.1,5,5.3,0,2,2,4,80.0
2021,,24.7,9,11.2,-2,12,10,3,33.3
2022,,24.4,24,24.4,0,11,28,5,20.8
Player,,24.3,103,94.9,8,44,78,37,35.9
