,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
*,2018,NYY,AL,123,484,431,54,117,16,1,24,77,42,122,6,2,5,.271,.340,.480,.820
*,2019,NYY,AL,144,604,546,96,152,26,0,38,90,48,129,5,2,3,.278,.337,.535,.872
,2020,NYY,AL,42,160,136,17,33,8,0,3,16,22,28,1,0,2,.243,.356,.368,.724
,2021,NYY,AL,127,516,459,50,119,22,0,9,51,50,104,14,6,1,.259,.331,.366,.697
,2022,NYY,AL,140,572,526,73,135,28,1,24,76,39,129,10,5,3,.257,.310,.451,.761
,5 Seasons,NYY,AL,576,2336,2098,290,556,100,2,98,310,201,512,36,15,14,.265,.331,.455,.786
