PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Mayers(L, 1-1)",4.0,8,7,5,2,4,3,5.17
Toussaint,5.0,1,0,0,1,2,0,4.94
,9.0,9,7,5,3,6,3,
