BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrishamCF,4,0,0,0,0,3,3,.160,.382
"Nola, AuC",4,0,0,1,0,0,2,.263,.694
"Machado, M3B",2,0,0,0,1,2,1,.227,.664
AzocarLF-RF,0,0,0,0,1,0,0,.500,1.167
Cronenworth2B,2,0,1,0,2,1,1,.250,.685
VoitDH,4,1,1,0,0,2,4,.235,.735
ProfarLF,0,0,0,0,0,0,0,.357,1.257
Hosmer1B,3,0,0,0,0,2,3,.444,1.085
Kim3B,1,0,0,0,0,0,1,.200,.785
MyersRF-P,4,0,2,1,0,1,2,.167,.450
BeatyLF-1B,4,1,1,0,0,2,2,.125,.250
AbramsSS,2,0,0,0,2,1,1,.091,.322
,30,2,5,2,6,14,20,,
