PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Cobb(W, 1-0)",5.0,4,2,2,2,10,0,3.60
"García, J",1.0,0,0,0,1,2,0,0.00
Beede,2.0,0,0,0,3,2,0,0.00
"Marte, Y",1.0,1,0,0,0,0,0,0.00
,9.0,5,2,2,6,14,0,
