PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Houser,3.0,7,5,4,4,1,0,4.85
Strzelecki,1.0,1,0,0,1,2,0,3.71
Topa,1.2,1,0,0,0,2,0,0.00
Milner,0.1,0,0,0,1,1,0,3.59
Boxberger,1.0,0,0,0,0,2,0,2.95
"Williams, D",1.0,0,0,0,0,2,0,1.79
"Rogers(W, 4-7)(BS, 9)",1.0,2,1,1,0,1,1,4.53
,9.0,11,6,5,6,11,1,
