BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Reyes, VRF-CF",4,0,1,0,0,1,0,.341,.811
"Castro, HSS-P-SS",4,0,0,0,0,1,2,.299,.772
"Cabrera, MDH",3,0,1,0,0,1,0,.289,.696
GrossmanRF,1,0,0,0,0,0,0,.199,.539
MeadowsLF,3,0,1,0,0,0,1,.250,.675
BarnhartP,1,0,0,0,0,0,0,.233,.541
Schoop2B,4,0,1,0,0,1,1,.190,.537
"Castro, WCF-SS-3B",3,0,0,0,0,0,2,.250,.632
Torkelson1B,3,0,0,0,0,1,2,.178,.563
HaaseC,3,0,0,0,0,0,0,.178,.526
Clemens3B-P-LF,3,0,0,0,0,1,1,.077,.220
,32,0,4,0,0,6,9,,
