PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Buehler,6.0,7,4,4,1,7,2,3.22
Almonte,2.0,1,0,0,1,2,0,0.90
"Kimbrel(L, 0-1)(BS, 1)",1.0,1,2,1,1,2,0,4.80
,9.0,9,6,5,3,11,2,
