PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",5.2,4,2,2,1,4,2,5.18
"Peters(H, 2)",1.1,2,1,1,1,2,1,3.96
"Bednar(W, 2-1)(BS, 1)",2.0,4,2,2,1,4,0,1.38
,9.0,10,5,5,3,10,3,
