 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,117,16.6,33.3%,3.4%,68,21.2,4.4%,11.8%
2017,,877,17.8,24.1%,3.1%,590,22.7,0.8%,14.4%
2018,,655,17.4,27.5%,1.5%,412,23.4,0.7%,14.3%
2019,,566,17.6,22.3%,3.2%,380,23.3,1.3%,15.8%
2020,,126,18.9,19.8%,1.6%,110,23.4,0.0%,11.8%
2021,,846,19.1,13.4%,4.8%,480,23.7,0.0%,16.3%
2022,,875,19.5,13.5%,6.4%,561,24.0,0.5%,12.7%
