 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,54,96.5,93.2,--,--,--,--,--,--,--,--,--,--,--,--,54,93.2
2021,313,93.2,89.3,--,--,--,--,--,--,--,--,--,--,49,--,264,89.6
2022,334,98.8,92.3,--,--,--,--,--,--,--,--,--,--,188,91.1,146,93.7
