,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,NYY,AL,27,95,84,10,15,2,0,4,10,9,42,0,1,1,.179,.263,.345,.608
*,2017,NYY,AL,155,678,542,128,154,24,3,52,114,127,208,9,4,5,.284,.422,.627,1.049
*,2018,NYY,AL,112,498,413,77,115,22,0,27,67,76,152,6,3,4,.278,.392,.528,.920
,2019,NYY,AL,102,447,378,75,103,18,1,27,55,64,141,3,2,3,.272,.381,.540,.921
,2020,NYY,AL,28,114,101,23,26,3,0,9,22,10,32,0,1,2,.257,.336,.554,.890
*,2021,NYY,AL,148,633,550,89,158,24,0,39,98,75,158,6,1,3,.287,.373,.544,.917
*,2022,NYY,AL,157,696,570,133,177,28,0,62,131,111,175,16,3,6,.311,.425,.686,1.111
,7 Seasons,NYY,AL,729,3161,2638,535,748,121,4,220,497,472,908,40,15,24,.284,.394,.583,.977
