BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenDH,5,0,1,0,0,3,2,.238,.698
AdamesSS,4,0,1,0,0,1,2,.239,.771
RenfroeRF,4,0,0,0,0,1,3,.251,.801
YelichLF,4,1,2,0,0,0,0,.255,.736
Brosseau3B,1,1,1,0,0,0,0,.273,.807
"a-Wong, KoPH-2B",2,0,1,0,0,0,0,.253,.776
"Urías, L2B-3B",4,0,1,0,0,0,4,.232,.719
Hiura1B,3,0,1,1,1,0,0,.232,.789
CaratiniC,3,0,1,0,0,0,3,.203,.655
b-PetersonPH,0,0,0,0,1,0,0,.243,.718
"Taylor, TCF",3,0,1,0,0,0,1,.232,.728
c-TellezPH,1,0,0,0,0,0,1,.221,.776
,34,2,10,1,2,5,16,,
