BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,0,1,0,1,1,4,.283,.906
"Freeman, F1B",5,1,2,1,0,1,5,.292,.825
TurnerSS,5,0,1,0,0,0,6,.299,.821
MuncyDH,5,0,1,0,0,1,2,.158,.612
"Smith, W.D.C",5,1,3,0,0,0,2,.247,.763
"Turner, J3B",4,0,0,0,0,0,4,.212,.632
1-AlvarezPR-3B,0,0,0,0,0,0,0,.222,.444
a-AlbertoPH,1,0,1,0,0,0,0,.246,.602
BellingerCF,5,0,2,1,0,0,4,.211,.685
"Taylor, ChLF",2,0,0,0,2,1,3,.250,.776
Lux2B,4,0,2,0,0,1,3,.296,.760
,40,2,13,2,3,5,33,,
