BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonDH,3,0,0,0,1,0,2,.227,.843
CorreaSS,4,0,1,0,0,1,2,.272,.790
Arraez2B,4,1,1,0,0,0,1,.335,.842
Miranda1B,4,1,2,2,0,0,1,.286,.805
Urshela3B,4,0,0,0,0,0,2,.266,.737
CelestinoCF,4,1,1,0,0,2,1,.265,.666
SanchezC,2,1,0,0,1,0,1,.217,.676
KeplerRF,3,0,1,0,0,0,1,.227,.680
GordonLF,3,0,1,1,0,1,2,.276,.745
,31,4,7,3,2,4,13,,
