PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Lynch(L, 4-8)",6.0,5,4,3,1,2,1,4.52
Payamps,2.0,2,0,0,1,2,0,3.16
,8.0,7,4,3,2,4,1,
