BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ContrerasC,5,0,1,0,0,3,4,.243,.810
"Suzuki, SRF",3,2,2,0,1,1,0,.267,.780
HappLF,4,0,1,1,0,1,4,.270,.782
Wisdom3B,3,0,2,1,1,1,1,.212,.743
HoernerSS,4,0,0,0,0,0,6,.285,.742
"Reyes, FDH",3,0,0,0,1,0,2,.219,.626
Bote1B,3,0,1,0,0,0,1,.255,.700
Rivas1B,0,0,0,0,0,0,0,.242,.638
"Velazquez, NCF",3,0,0,0,1,2,2,.192,.606
Morel2B,3,0,0,0,1,1,3,.237,.752
,31,2,7,2,5,9,23,,
